등록번호,처리상태,관할기관,행정구역,노선,방향,지번주소,도로명주소,파손종류
20231231900186010,보수,성동,중랑구,중곡~신내선,중랑시계 (신내동 산 2-1),서울 중랑구 면목동 1366,서울특별시 중랑구 용마산로45길 48,포트홀
20231231600225070,보수,성동,동대문구,흥인~면목선,면목동 (면목동 1084),서울 동대문구 답십리동 112-3,서울특별시 동대문구 답십리로41길 33,포트홀
20231231600195070,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 가락동 184-23,서울특별시 송파구 송파대로 257,포트홀
20231231600193070,보수,성동,동대문구,흥인~면목선,흥인로타리 (흥인동 3-8),서울 동대문구 장안동 469-2,서울특별시 동대문구 사가정로 245-3,포트홀
20231231600083070,보수,성동,중랑구,중곡~신내선,중랑시계 (신내동 산 2-1),서울 중랑구 면목동 1316-5,서울특별시 중랑구 용마산로 지하 227,포트홀
20231231600070070,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 문정동 315-2,서울특별시 송파구 새말로5길 27,포트홀
20231231600060070,보수,성동,중랑구,온수~망우선,오류동시계 (온수동산17),서울 중랑구 상봉동 160-10,서울특별시 중랑구 망우로 252,포트홀
20231231058446010,보수,시설관리공단,강남구,,,서울 강남구 삼성동 185-3,,포트홀
20231231058432010,보수,동부,송파구,사당~암사선,남성초교 (사당동산24-2),서울 송파구 잠실동 123,서울특별시 송파구 올림픽로 49,포트홀
20231230900634010,보수,동부,강동구,방화~사가정선,행주대교,서울 강동구 길동 369-6,서울특별시 강동구 양재대로 1505,포트홀
20231230900212010,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 송파동 2-13,서울특별시 송파구 송파대로 388,포트홀
20231230900209010,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 잠실동 41,,포트홀
20231230900169010,보수,강서,강서구,신월~목동선,강서소방서 목동출장소 (목동900-12),서울 강서구 화곡동 940-3,서울특별시 강서구 곰달래로 248,포트홀
20231230600118070,보수,동부,강동구,서린~상일선,강동구시계 (상일동산8),서울 강동구 성내동 450-45,서울특별시 강동구 천호대로 1128-1,포트홀
20231230600105070,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 문정동 315-2,서울특별시 송파구 송파대로20길 4,포트홀
20231230600101070,보수,강서,양천구,방화~사가정선,면목동 (면목동 524-33),서울 양천구 신월동 818,서울특별시 양천구 남부순환로 452,포트홀
20231230600095070,보수,시설관리공단,마포구,내부순환도시고속도로,마포구 성산동,서울 마포구 망원동 222,,포트홀
20231230600094070,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 석촌동 328,서울특별시 송파구 송파대로 384,포트홀
20231230600090070,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 문정동 315-2,서울특별시 송파구 송파대로20길 4,포트홀
20231230600087070,보수,동부,송파구,장지~성수선,성동교 남단,서울 송파구 가락동 172-9,서울특별시 송파구 송파대로32길 15,포트홀
20231230600086070,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 문정동 158-1,,포트홀
20231230600081070,보수,동부,송파구,,,서울 송파구 가락동 172-9,서울특별시 송파구 송파대로32길 15,포트홀
20231230600080070,보수,동부,강동구,서린~상일선,광화문우체국 (서린동139-7),서울 강동구 길동 176-3,서울특별시 강동구 천호대로 1231,포트홀
20231230600069070,보수,시설관리공단,영등포구,올림픽대로,행주대교 남단 (개화I.C),서울 영등포구 여의도동 19,,포트홀
20231230600038070,보수,동부,송파구,장지~성수선,송파구시계 (장지동576),서울 송파구 문정동 312-2,서울특별시 송파구 송파대로 111,포트홀
20231230600017070,보수,동부,송파구,장지~성수선,성동교 남단,서울 송파구 신천동 3,서울특별시 송파구 송파대로 570,포트홀
20231230600014070,보수,동부,강동구,서린~상일선,강동구시계 (상일동산8),서울 강동구 길동 176-3,서울특별시 강동구 천호대로 1240,포트홀
20231229900242010,보수,강서,양천구,신월~가양선,신월동시계 (신월5동36),서울 양천구 신월동 258,서울특별시 양천구 남부순환로 303,포트홀
20231229900055010,보수,강서,양천구,신월~노량진선,남부순환로 (신월동438-8),서울 양천구 목동 404-171,서울특별시 양천구 오목로 351,포트홀
20231229600025070,보수,강서,양천구,궁동~영등포선,,서울 양천구 신정동 813-1,,포트홀
20231229600021070,보수,시설관리공단,서초구,올림픽대로,행주대교 남단 (개화I.C),서울 서초구 반포동 1333-1,,포트홀
20231229600002070,보수,북부,성북구,,,,서울 성북구 정릉동 155-1,포트홀
20231229160655001,보수,성동,중랑구,온수~망우선,,중랑구 망우동 534-5,중랑구 망우로 443 (441호),포트홀
20231229160602001,보수,성동,동대문구,온수~망우선,,동대문구 용두동 237-10,동대문구 왕산로 78,포트홀
20231229160452001,보수,성동,동대문구,흥인~면목선,,동대문구 전농동 42-4,동대문구 사가정로 149,포트홀
20231229141134001,보수,강서,구로구,,,,금천구 벚꽃로56길 190,포트홀
20231229141118001,보수,강서,구로구,온수~망우선,중랑구시계 (망우동산52-4),,구로구 경인로 518,포트홀
20231229141059001,보수,강서,영등포구,온수~망우선,중랑구시계 (망우동산52-4),영등포구 여의도동 2-11,영등포구 여의대로 8,포트홀
20231229141042001,보수,강서,영등포구,궁동~영등포선,영등포로타리 (영등포동1가94),,영등포구 영등포로53길 1,포트홀
20231229141013001,보수,강서,강서구,신월~신당선,신월I.C,강서구 화곡동 944-4,강서구 국회대로 233,포트홀
20231229141002001,보수,강서,강서구,신월~화곡선,신월동시계 (신월동산29-125),강서구 화곡동 662-19,강서구 가로공원로 183,포트홀
20231229140951001,보수,강서,양천구,독산~등촌선,등촌동로타리 (등촌동 505-23),양천구 목동 813,양천구 등촌로 40,포트홀
20231229140939001,보수,강서,양천구,신월~목동선,강서소방서 목동출장소 (목동900-12),양천구 목동 868,양천구 목동중앙서로 20,포트홀
20231229140926001,보수,강서,강서구,신월~목동선,강서소방서 목동출장소 (목동900-12),강서구 화곡동 940-3,강서구 곰달래로 248-1,포트홀
20231229140912001,보수,강서,강서구,신월~목동선,강서소방서 목동출장소 (목동900-12),,강서구 곰달래로 248,포트홀
20231229140858001,보수,강서,강서구,신월~목동선,남부순환로 (신월동223-1),강서구 화곡동 940-2,강서구 곰달래로 271,포트홀
20231229140846001,보수,강서,강서구,과해~삼성선,삼성동171-3,강서구 화곡동 1106-5,강서구 공항대로 432,포트홀
20231229140832001,보수,강서,강서구,과해~삼성선,김포공항 정문 (과해동624-10),,강서구 공항대로 571,포트홀
20231229140819001,보수,강서,강서구,신월~가양선,신월동시계 (신월5동36),,강서구 화곡로 301,포트홀
20231229140807001,보수,강서,양천구,신월~노량진선,남부순환로 (신월동438-8),,양천구 오목로 183,포트홀
20231229140746001,보수,강서,영등포구,양평~노고산선,신촌로타리 (노고산동57),,영등포구 의사당대로 3,포트홀
20231229140734001,보수,강서,구로구,독산~등촌선,등촌동로타리 (등촌동 505-23),구로구 구로동 462-1,구로구 구로동로 212,포트홀
20231229140718001,보수,강서,구로구,,,구로구 개봉동 426,구로구 남부순환로95길 88,포트홀
20231229140702001,보수,강서,구로구,,,구로구 개봉동 232-16,구로구 남부순환로95길 88,포트홀
20231229140632001,보수,강서,강서구,방화~염창선,양화교,,강서구 양천로 658,포트홀
20231229140620001,보수,강서,양천구,방화~사가정선,면목동 (면목동 524-33),,양천구 남부순환로 291,포트홀
20231229140607001,보수,강서,양천구,궁동~영등포선,구로구시계 (궁동 산1-71),양천구 신정동 322-4,양천구 목동서로 355,포트홀
20231229140554001,보수,강서,양천구,궁동~영등포선,구로구시계 (궁동 산1-71),,양천구 목동서로 340,포트홀
20231229140540001,보수,강서,양천구,신정이펜하우스~남부순환로,남부순환로 (신월지하차도),,양천구 신월로 372,포트홀
20231229140529001,보수,강서,양천구,,,,양천구 중앙로 245,포트홀
20231229140517001,보수,강서,양천구,,,양천구 신월동 840,양천구 국회대로 36,포트홀
