구분,구분2,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2014년도,개소수,30612.0,2653.0,3381.0,1797.0,2316.0,2429.0,2532.0,4017.0,3940.0,2726.0,1917.0,1283.0,1621.0
2014년도,면적(㎡),79644.0,1758.0,8452.0,2577.0,10054.0,13461.0,9708.0,7593.0,6297.0,7045.0,7594.0,2951.0,2154.0
2015년도,개소수,36887.0,2237.0,2812.0,3566.0,4625.0,2786.0,2780.0,5578.0,3211.0,2159.0,1999.0,2572.0,2562.0
2015년도,면적(㎡),61345.0,1898.0,2100.0,3784.0,7088.0,9347.0,6751.0,6475.0,5200.0,6475.0,4101.0,4016.0,4110.0
2016년도,개소수,36852.0,2722.0,2391.0,3536.0,3064.0,3486.0,2716.0,6145.0,3488.0,2776.0,2562.0,1722.0,2244.0
2016년도,면적(㎡),32189.2123,1274.71,3327.29,2482.505,2752.22,3033.119,3119.646,6437.8705,2393.2418,2789.5,2111.75,1312.14,1155.22
2017년도,개소수,33924.0,2141.0,3907.0,2830.0,2879.0,1936.0,1870.0,6177.0,6226.0,1936.0,1389.0,1093.0,1540.0
2017년도,면적(㎡),25913.172,1395.31,1958.575,2209.72,2035.3825,1603.455,1888.575,5156.5625,4833.16,1542.39,1406.265,861.467,1022.31
2018년도,개소수,34382.0,2250.0,2271.0,5589.0,4252.0,4279.0,1873.0,3674.0,2914.0,2328.0,1865.0,1782.0,1305.0
2018년도,면적(㎡),20441.7144,1121.02,1162.22,3217.81,2427.6665,2229.1068,1179.2487,2458.7129,1946.5775,1748.202,1451.69,939.2,560.26
2019년도,개소수,25305.0,1290.0,1686.0,1734.0,2049.0,1681.0,1748.0,2989.0,4034.0,3802.0,1553.0,1263.0,1476.0
2019년도,면적(㎡),16134.247,519.845,631.5,581.295,1083.105,1262.92,1209.928,1837.629,3008.0,3540.015,890.875,789.995,779.14
2020년도,개소수,35701.0,2624.0,2313.0,2351.0,1706.0,1891.0,1555.0,3151.0,13839.0,2756.0,1582.0,873.0,1060.0
2020년도,면적(㎡),28258.2647,1371.3515,1006.63,1367.573,2009.196,1785.33,1991.8325,2609.943,10235.234,2731.12,1798.6667,824.618,526.77
2021년도,개소수,25443.0,1585.0,2052.0,4236.0,3000.0,2917.0,1963.0,1954.0,2074.0,2247.0,1332.0,949.0,1134.0
2021년도,면적(㎡),18568.1195,771.9725,1283.99,2679.53,1908.465,2427.57,1773.99,1383.782,1312.13,2366.64,1545.06,674.17,440.82
2022년도,개소수,23251.0,1568.0,1771.0,2340.0,1485.0,1177.0,1418.0,3141.0,5383.0,2182.0,1190.0,700.0,896.0
2022년도,면적(㎡),16876.0554,763.28,1396.92,1430.96,1242.02,1689.62,1134.882,2211.612,3538.97,1676.435,1019.84,536.39,235.1264
2023년도,개소수,23142.0,2271.0,1723.0,1486.0,1871.0,2123.0,1543.0,3914.0,2669.0,1942.0,1076.0,875.0,1649.0
2023년도,면적(㎡),12067.645,946.58,754.205,929.92,1132.23,1424.02,814.07,2052.05,1391.29,995.64,765.48,376.69,485.47
2024년도,개소수,27231.0,4527.0,4597.0,4146.0,2722.0,1916.0,1191.0,3002.0,1448.0,1322.0,751.0,658.0,951.0
2024년도,면적(㎡),14245.5725,1913.03,2265.09,2334.71,1643.43,1223.93,938.26,2117.8025,491.92,610.85,229.01,205.65,271.89
