연월,포트홀_개수,포트홀_면적
2014-01-01,2653.0,1758.0
2015-01-01,2237.0,1898.0
2016-01-01,2722.0,1274.71
2017-01-01,2141.0,1395.31
2018-01-01,2250.0,1121.02
2019-01-01,1290.0,519.845
2020-01-01,2624.0,1371.3515
2021-01-01,1585.0,771.9725
2022-01-01,1568.0,763.28
2023-01-01,2271.0,946.58
2024-01-01,4527.0,1913.03
2014-02-01,3381.0,8452.0
2015-02-01,2812.0,2100.0
2016-02-01,2391.0,3327.29
2017-02-01,3907.0,1958.575
2018-02-01,2271.0,1162.22
2019-02-01,1686.0,631.5
2020-02-01,2313.0,1006.63
2021-02-01,2052.0,1283.99
2022-02-01,1771.0,1396.92
2023-02-01,1723.0,754.205
2024-02-01,4597.0,2265.09
2014-03-01,1797.0,2577.0
2015-03-01,3566.0,3784.0
2016-03-01,3536.0,2482.505
2017-03-01,2830.0,2209.72
2018-03-01,5589.0,3217.81
2019-03-01,1734.0,581.295
2020-03-01,2351.0,1367.573
2021-03-01,4236.0,2679.53
2022-03-01,2340.0,1430.96
2023-03-01,1486.0,929.92
2024-03-01,4146.0,2334.71
2014-04-01,2316.0,10054.0
2015-04-01,4625.0,7088.0
2016-04-01,3064.0,2752.22
2017-04-01,2879.0,2035.3825
2018-04-01,4252.0,2427.6665
2019-04-01,2049.0,1083.105
2020-04-01,1706.0,2009.196
2021-04-01,3000.0,1908.465
2022-04-01,1485.0,1242.02
2023-04-01,1871.0,1132.23
2024-04-01,2722.0,1643.43
2014-05-01,2429.0,13461.0
2015-05-01,2786.0,9347.0
2016-05-01,3486.0,3033.119
2017-05-01,1936.0,1603.455
2018-05-01,4279.0,2229.1068
2019-05-01,1681.0,1262.92
2020-05-01,1891.0,1785.33
2021-05-01,2917.0,2427.57
2022-05-01,1177.0,1689.62
2023-05-01,2123.0,1424.02
2024-05-01,1916.0,1223.93
2014-06-01,2532.0,9708.0
2015-06-01,2780.0,6751.0
2016-06-01,2716.0,3119.646
2017-06-01,1870.0,1888.575
2018-06-01,1873.0,1179.2487
2019-06-01,1748.0,1209.928
2020-06-01,1555.0,1991.8325
2021-06-01,1963.0,1773.99
2022-06-01,1418.0,1134.882
2023-06-01,1543.0,814.07
2024-06-01,1191.0,938.26
2014-07-01,4017.0,7593.0
2015-07-01,5578.0,6475.0
2016-07-01,6145.0,6437.8705
2017-07-01,6177.0,5156.5625
2018-07-01,3674.0,2458.7129
2019-07-01,2989.0,1837.629
2020-07-01,3151.0,2609.943
2021-07-01,1954.0,1383.782
2022-07-01,3141.0,2211.612
2023-07-01,3914.0,2052.05
2024-07-01,3002.0,2117.8025
2014-08-01,3940.0,6297.0
2015-08-01,3211.0,5200.0
2016-08-01,3488.0,2393.2418
2017-08-01,6226.0,4833.16
2018-08-01,2914.0,1946.5775
2019-08-01,4034.0,3008.0
2020-08-01,13839.0,10235.234
2021-08-01,2074.0,1312.13
2022-08-01,5383.0,3538.97
2023-08-01,2669.0,1391.29
2024-08-01,1448.0,491.92
2014-09-01,2726.0,7045.0
2015-09-01,2159.0,6475.0
2016-09-01,2776.0,2789.5
2017-09-01,1936.0,1542.39
2018-09-01,2328.0,1748.202
2019-09-01,3802.0,3540.015
2020-09-01,2756.0,2731.12
2021-09-01,2247.0,2366.64
2022-09-01,2182.0,1676.435
2023-09-01,1942.0,995.64
2024-09-01,1322.0,610.85
2014-10-01,1917.0,7594.0
2015-10-01,1999.0,4101.0
2016-10-01,2562.0,2111.75
2017-10-01,1389.0,1406.265
2018-10-01,1865.0,1451.69
2019-10-01,1553.0,890.875
2020-10-01,1582.0,1798.6667
2021-10-01,1332.0,1545.06
2022-10-01,1190.0,1019.84
2023-10-01,1076.0,765.48
2024-10-01,751.0,229.01
2014-11-01,1283.0,2951.0
2015-11-01,2572.0,4016.0
2016-11-01,1722.0,1312.14
2017-11-01,1093.0,861.467
2018-11-01,1782.0,939.2
2019-11-01,1263.0,789.995
2020-11-01,873.0,824.618
2021-11-01,949.0,674.17
2022-11-01,700.0,536.39
2023-11-01,875.0,376.69
2024-11-01,658.0,205.65
2014-12-01,1621.0,2154.0
2015-12-01,2562.0,4110.0
2016-12-01,2244.0,1155.22
2017-12-01,1540.0,1022.31
2018-12-01,1305.0,560.26
2019-12-01,1476.0,779.14
2020-12-01,1060.0,526.77
2021-12-01,1134.0,440.82
2022-12-01,896.0,235.1264
2023-12-01,1649.0,485.47
2024-12-01,951.0,271.89
