[2025-05-18 18:24:22] 위도: 37.471328, 경도: 127.051016, dowsCd: -1
[2025-05-18 18:24:32] 위도: 37.537171, 경도: 126.974015, dowsCd: -1
[2025-05-18 18:24:42] 위도: 37.613188, 경도: 127.101356, dowsCd: -1
[2025-05-18 18:24:53] 위도: 37.554804, 경도: 127.181679, dowsCd: -1
[2025-05-18 18:25:03] 위도: 37.562555, 경도: 127.175644, dowsCd: -1
[2025-05-18 18:47:57] 위도: 37.511599, 경도: 127.021129, dowsCd: -1
[2025-05-18 18:47:57] 위도: 37.591728, 경도: 127.067652, dowsCd: -1
[2025-05-18 18:48:07] 위도: 37.511561, 경도: 127.021136, dowsCd: -1
[2025-05-18 18:48:07] 위도: 37.577199, 경도: 127.02881, dowsCd: -1
[2025-05-18 18:48:18] 위도: 37.551293, 경도: 127.172667, dowsCd: -1
[2025-05-18 18:48:18] 위도: 37.562845, 경도: 127.175579, dowsCd: -1
[2025-05-18 18:48:28] 위도: 37.551296, 경도: 127.172669, dowsCd: -1
[2025-05-18 18:48:28] 위도: 37.562847, 경도: 127.175578, dowsCd: -1
[2025-05-18 18:48:38] 위도: 37.551295, 경도: 127.172666, dowsCd: -1
[2025-05-18 18:48:38] 위도: 37.562848, 경도: 127.175578, dowsCd: -1
[2025-05-18 18:48:48] 위도: 37.5513, 경도: 127.172669, dowsCd: -1
[2025-05-18 18:48:48] 위도: 37.56285, 경도: 127.175577, dowsCd: -1
[2025-05-18 18:48:58] 위도: 37.551301, 경도: 127.172668, dowsCd: -1
[2025-05-18 18:48:58] 위도: 37.56285, 경도: 127.175581, dowsCd: -1
[2025-05-18 18:49:08] 위도: 37.551301, 경도: 127.172662, dowsCd: -1
[2025-05-18 18:49:08] 위도: 37.562848, 경도: 127.175583, dowsCd: -1
[2025-05-18 18:49:18] 위도: 37.5513, 경도: 127.172663, dowsCd: -1
[2025-05-18 18:49:18] 위도: 37.562842, 경도: 127.175587, dowsCd: -1
[2025-05-18 18:49:28] 위도: 37.551301, 경도: 127.172662, dowsCd: -1
[2025-05-18 18:49:28] 위도: 37.562839, 경도: 127.175591, dowsCd: -1
[2025-05-18 18:49:38] 위도: 37.586958, 경도: 126.88694, dowsCd: -1
