연월,지점 번호,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmm),최고 기온(°C),최고 기온 시각(hhmm),10분 최다강수량(mm),10분 최다강수 시각(hhmm),1시간 최다강수(mm),1시간 최다강수 시각(hhmm),강수 계속시간(hr),일강수량(mm),최대 순간풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmm),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmm),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmm),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmm),최저 해면기압(hPa),최저 해면기압 시각(hhmm),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmm),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmm),일 최심적설(cm),일 최심적설 시각(hhmm),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속 시간(hr)
2013-01,108.0,-3.4,-6.6,929.3,0.3,1316.2,,,,,5.8,2.2,8.0,215.5,1317.3,5.2,212.3,1381.8,2.7,2308.9,198.1,-11.1,38.5,1343.5,57.1,3.0,1015.3,1028.9,1198.8,1023.9,1152.0,1026.4,9.9,5.4,1232.3,1.3,7.0,1.5,1295.0,5.5,236.3,1.5,4.3,2.8,-2.0,-9.4,-2.0,-1.3,-0.5,-0.0,1.2,4.4,6.5,13.5,16.6,,1.6,3.3,
2013-02,108.0,-1.2,-4.9,1224.4,2.8,1226.8,,,,,4.4,5.7,9.0,241.1,1250.5,5.7,244.6,1269.6,2.9,2494.4,220.4,-10.3,30.3,1376.1,53.6,3.2,1014.2,1028.6,1127.8,1022.0,1192.5,1025.1,10.8,6.7,1214.3,1.8,10.6,3.6,1052.1,9.6,420.6,3.6,4.7,2.8,0.4,-7.0,-0.0,-0.3,-0.1,0.1,1.1,3.1,4.6,11.3,15.2,,1.7,5.3,0.2
2013-03,108.0,5.1,0.7,877.1,10.8,1262.6,,,,,3.8,3.4,9.5,250.0,1245.1,6.1,250.0,1386.4,3.0,2622.5,226.8,-5.7,25.3,1348.1,49.2,4.3,1007.3,1021.7,1225.6,1014.0,1248.4,1017.9,12.0,8.3,1229.0,2.2,14.3,,,,,,3.3,2.1,7.0,-2.7,6.0,5.7,5.5,5.5,5.1,5.4,5.9,10.1,13.9,,3.1,3.5,
2013-04,108.0,10.0,5.7,1057.4,15.0,1183.2,0.8,1049.8,1.9,902.4,6.2,4.8,11.2,235.7,1407.1,6.9,238.0,1418.5,3.4,2954.9,198.7,-0.1,28.4,1216.9,54.0,6.5,1002.6,1016.4,1234.6,1009.8,1308.6,1012.9,13.2,7.1,1230.0,2.2,15.0,,,,,,5.0,3.4,11.5,2.8,11.1,10.6,10.5,10.3,10.1,9.3,9.1,10.3,13.0,2.6,3.7,4.0,
2013-05,108.0,18.2,13.7,747.1,23.6,1377.9,1.1,1256.0,3.4,1215.4,6.9,12.0,8.6,211.9,1481.4,5.9,213.9,1631.9,2.9,2509.5,225.5,8.6,35.9,1372.6,57.8,11.6,1001.5,1014.1,1194.6,1009.1,1351.1,1011.5,14.2,7.7,1212.9,2.3,16.6,,,,,,4.7,2.9,20.2,10.5,19.9,19.0,18.5,17.9,17.3,14.9,13.5,11.6,12.8,3.2,4.6,11.0,
2013-06,108.0,24.4,20.5,713.8,29.2,1443.3,0.4,673.2,1.0,1366.4,5.4,2.8,7.7,243.0,1491.2,4.9,251.0,1566.8,2.2,1927.6,213.0,15.4,39.7,1325.2,60.1,17.8,998.0,1009.6,1126.1,1005.6,1343.0,1007.7,14.7,7.5,1173.3,2.3,16.9,,,,,,5.4,3.3,28.2,17.3,27.0,26.1,25.4,24.6,23.4,20.5,18.5,13.9,13.2,3.6,5.3,2.8,
2013-07,108.0,25.5,23.4,906.8,28.3,1361.3,4.6,1015.7,11.3,947.6,7.5,26.0,10.6,232.6,1234.4,6.8,228.4,1426.0,3.4,2898.6,220.6,21.4,63.5,1293.0,79.3,25.6,995.3,1007.1,1318.2,1003.3,1296.4,1005.0,14.5,3.3,1258.1,1.4,8.7,,,,,,8.5,6.5,26.4,22.4,26.4,25.9,25.7,25.4,25.5,23.9,22.7,18.4,15.0,2.1,2.8,29.4,2.2
2013-08,108.0,27.7,24.8,730.5,31.1,1432.9,3.7,1080.6,8.0,1036.4,2.4,9.9,8.7,241.6,1438.6,5.6,244.2,1538.9,2.8,2393.1,199.4,21.1,48.9,1324.2,69.3,25.4,996.8,1008.3,1089.6,1004.7,1268.3,1006.5,13.6,7.0,1309.7,2.1,13.6,,,,,,6.2,5.1,29.5,22.5,28.7,28.1,28.0,27.7,27.9,26.1,24.7,19.9,16.5,3.1,4.4,8.3,
2013-09,108.0,21.8,18.0,986.8,25.9,1464.8,1.3,1035.6,3.9,1057.9,6.4,11.5,7.6,188.0,1456.8,4.6,197.3,1491.4,2.2,1933.7,154.7,13.6,43.0,1310.5,62.9,16.2,1005.0,1016.8,1183.3,1013.1,1073.3,1014.9,12.4,6.4,1226.7,1.9,12.3,,,,,,5.5,3.2,24.1,14.8,23.2,23.1,23.5,23.9,24.0,24.4,24.2,21.1,17.6,2.5,3.6,11.5,
2013-10,108.0,15.8,10.9,896.2,21.2,1301.1,1.2,1005.0,1.8,957.5,5.6,2.7,8.0,166.1,1215.9,4.8,207.1,1371.7,2.5,2137.1,128.1,7.0,36.2,1385.7,58.4,10.6,1010.0,1022.4,1139.1,1018.0,1318.9,1020.2,11.2,8.1,1171.0,1.9,12.0,,,,,,2.9,1.8,16.4,6.6,16.2,16.5,17.3,18.3,18.9,20.8,21.6,20.8,18.4,1.9,3.1,1.7,
