지점 번호,지점명,날짜,평균 기온(°C),최저 기온(°C),최고 기온(°C),10분 최다강수량(mm),1시간 최다강수(mm),강수 계속시간(hr),일강수량(mm),최대 순간풍속(m/s),최대 순간 풍속 풍향(16방위),최대 풍속(m/s),최대 풍속 풍향(16방위),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최저 해면기압(hPa),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심적설(cm),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
108,서울,2013-01-01,-4.7,-8.7,0.0,,,8.93,3.1,10.3,270.0,5.8,290.0,3.2,2736.0,70.0,-8.9,52.0,73.5,3.2,1007.6,1021.7,1016.9,1018.7,9.6,4.6,1.37,5.76,4.9,10.9,5.2,8.3,6.9,-1.9,-9.5,-1.7,-1.2,-0.4,0.3,1.8,5.5,8.2,14.9,17.4,,0.1,1.7,{눈}0455-{눈}{강도0}0600-{시정(미만)}{1km}{눈}0620-{시정(이상)}{1km}{눈}0740-0820. {눈}1045-{눈}{강도0}1200-1210. {눈}1940-{시정(미만)}{1km}{눈}2050-{눈}{강도1}2100-{시정(이상)}{1km}{눈}2110-2346.,
108,서울,2013-01-02,-11.7,-15.1,-4.8,,,,,11.9,290.0,7.8,320.0,4.2,3605.0,290.0,-22.5,29.0,40.8,1.0,1020.4,1037.3,1020.9,1031.9,9.6,9.1,1.65,9.62,,10.9,,0.3,0.3,-1.8,-17.5,-1.7,-0.9,-0.3,0.4,1.8,5.4,8.1,14.8,17.3,,1.0,,,
108,서울,2013-01-03,-13.2,-16.4,-9.3,,,,,8.3,360.0,5.0,270.0,2.8,2462.0,340.0,-23.4,30.0,42.8,0.9,1026.0,1039.5,1036.2,1037.6,9.7,9.1,1.66,9.78,,10.1,,0.0,0.0,-3.6,-18.9,-3.4,-1.8,-0.6,0.3,1.7,5.3,8.0,14.7,17.3,,1.1,,,
108,서울,2013-01-04,-10.7,-14.8,-5.8,,,,,6.2,200.0,4.3,230.0,1.8,1570.0,270.0,-20.9,27.0,44.3,1.2,1021.2,1036.8,1029.5,1032.7,9.7,9.2,1.63,9.54,,9.2,,0.0,0.0,-3.8,-19.2,-3.5,-2.0,-0.7,0.2,1.6,5.2,7.9,14.6,17.2,,0.8,,,
108,서울,2013-01-05,-7.0,-12.1,-1.2,,,,,6.7,320.0,4.6,290.0,2.3,1993.0,50.0,-13.6,41.0,59.4,2.2,1015.4,1029.7,1024.0,1026.6,9.7,7.5,1.51,8.09,,7.5,,2.3,1.5,-3.1,-15.1,-2.9,-1.8,-0.7,0.1,1.6,5.2,7.8,14.5,17.2,,1.0,,{박무}2020-{박무}{강도0}2100-{박무}{강도0}2400-,
108,서울,2013-01-06,-6.3,-9.4,-2.0,,,,,5.7,270.0,4.2,290.0,1.9,1609.0,270.0,-13.3,27.0,59.4,2.2,1015.4,1027.7,1025.1,1026.5,9.7,8.2,1.3,7.97,,7.3,,1.4,0.0,-2.8,-14.3,-2.7,-1.6,-0.6,0.1,1.6,5.1,7.7,14.4,17.2,,1.0,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0955. {연무}0950-{연무}{강도0}1200-{연무}{강도0}1500-1510.,
108,서울,2013-01-07,-5.1,-8.8,0.1,,,,,6.5,270.0,4.1,270.0,1.7,1503.0,290.0,-13.3,33.0,53.6,2.2,1014.5,1027.4,1023.9,1025.6,9.7,5.8,1.47,7.8,,7.1,,6.6,0.8,-2.6,-13.3,-2.5,-1.6,-0.6,0.0,1.5,5.0,7.6,14.3,17.1,,1.4,,{연무}0030-{연무}{강도0}0300-0450.  {연무}0640-{연무}{강도0}0900-{연무}{강도0}1200-1440.,
108,서울,2013-01-08,-4.6,-6.8,-0.7,,,,,6.6,290.0,4.9,270.0,2.2,1880.0,290.0,-13.0,27.0,53.4,2.3,1015.0,1027.7,1024.9,1026.1,9.7,8.0,1.51,8.55,,6.9,,2.4,0.0,-2.6,-11.3,-2.4,-1.4,-0.6,0.0,1.5,4.9,7.5,14.2,17.0,,1.7,,{박무}0710-0850. {연무}0845-{연무}{강도0}0900-1150. {연무}1230-1340.,
108,서울,2013-01-09,-9.0,-10.7,-6.4,,,,,8.3,270.0,5.1,270.0,3.0,2627.0,320.0,-20.7,28.0,38.5,1.2,1016.5,1029.2,1026.4,1027.8,9.7,9.3,1.72,10.07,,6.4,,0.0,0.0,-3.8,-13.8,-3.5,-2.0,-0.8,0.0,1.4,4.9,7.5,14.1,17.0,,1.7,,,
108,서울,2013-01-10,-8.3,-12.3,-3.6,,,,,6.5,270.0,4.6,270.0,2.3,1967.0,290.0,-19.4,25.0,41.3,1.3,1019.9,1032.5,1028.8,1031.2,9.8,9.1,1.64,9.74,,6.2,,0.5,0.5,-4.4,-14.1,-4.3,-2.5,-1.1,-0.1,1.1,4.8,7.1,13.7,16.5,,0.8,0.0,,
108,서울,2013-01-11,-3.2,-7.9,1.4,,,0.5,0.0,7.1,50.0,4.7,50.0,2.3,2005.0,50.0,-12.1,40.0,50.5,2.5,1018.3,1032.8,1026.1,1029.4,9.8,6.1,1.46,7.52,,6.1,,6.6,5.6,-2.5,-11.4,-2.6,-1.8,-0.9,-0.2,1.2,4.7,6.8,13.9,16.9,,1.8,0.1,{소낙눈}0540-{소낙눈}{강도0}0600-0610.,
108,서울,2013-01-12,0.0,-2.7,4.2,,,3.67,0.1,7.8,270.0,5.0,270.0,2.5,2164.0,270.0,-4.8,55.0,70.0,4.3,1014.0,1026.4,1023.5,1024.9,9.8,3.2,1.15,5.67,0.1,6.1,0.1,5.8,5.0,-0.8,-7.2,-0.8,-0.9,-0.4,-0.1,1.3,4.6,6.7,13.8,16.9,,1.9,,{눈}0355-{눈}{강도0}0600-0735. {박무}0540-{박무}{강도0}0600-{박무}{강도0}0900-1045. {연무}1040-{연무}{강도0}1200-{연무}{강도1}1500-{연무}{강도1}1800-2030. {박무}2025-{박무}{강도1}2100-{박무}{강도1}2400-,
108,서울,2013-01-13,-0.5,-3.0,3.3,,,,,5.6,70.0,3.7,50.0,1.6,1354.0,50.0,-6.7,29.0,65.6,3.8,1013.5,1027.0,1021.6,1024.4,9.8,0.6,1.02,5.77,,3.8,,5.9,0.0,-1.4,-7.6,-1.1,-0.8,-0.3,-0.1,1.3,4.6,6.6,13.7,16.8,,0.9,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-1010. {연무}1005-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도1}1800-{연무}{강도0}2100-{연무}{강도0}2400- {햇무리}1030-1220.,
108,서울,2013-01-14,-2.1,-4.3,1.8,,,,,9.2,290.0,5.6,290.0,2.2,1935.0,320.0,-8.6,40.0,61.6,3.2,1010.6,1024.8,1018.8,1021.6,9.8,4.5,1.35,5.89,,3.4,,1.0,1.0,-2.8,-9.4,-2.3,-1.4,-0.5,0.0,1.3,4.5,6.6,13.6,16.8,,1.3,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
108,서울,2013-01-15,-2.1,-5.5,2.0,,,,,5.6,290.0,4.1,290.0,2.0,1714.0,50.0,-9.6,39.0,57.0,3.0,1014.3,1027.4,1023.3,1025.2,9.9,4.1,1.37,6.87,,3.2,,4.5,0.8,-3.0,-10.6,-2.6,-1.7,-0.7,-0.1,1.2,4.5,6.5,13.6,16.7,,1.1,0.0,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
108,서울,2013-01-16,-2.6,-5.8,0.4,,,6.33,0.3,8.5,290.0,5.5,290.0,2.4,2057.0,270.0,-8.5,52.0,64.1,3.3,1013.3,1026.3,1022.3,1024.3,9.9,4.0,1.19,5.16,0.5,3.6,0.5,6.4,5.0,-1.8,-6.9,-1.6,-1.1,-0.5,-0.1,1.2,4.4,6.5,13.5,16.7,,0.9,0.3,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도1}0900-{연무}{강도1}1200-1420. {눈}0555-{눈}{강도0}0600-{눈}{강도0}0900-{가루눈}1010-{가루눈}{강도0}1200-1215. {연무}1920-{연무}{강도0}2100-{연무}{강도0}2400-,
108,서울,2013-01-17,-5.8,-8.2,-2.5,,,,,6.6,270.0,4.9,270.0,2.8,2420.0,290.0,-11.9,52.0,62.9,2.5,1018.3,1031.8,1026.3,1029.5,9.9,7.3,1.42,7.97,,2.9,,1.3,1.3,-4.2,-10.2,-3.8,-2.2,-0.8,-0.1,1.1,4.4,6.4,13.4,16.7,,1.0,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-0630. {박무}0625-{박무}{강도0}0900-0955. {연무}0950-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
108,서울,2013-01-18,-4.4,-9.2,0.2,,,,,7.1,180.0,5.1,250.0,2.0,1728.0,270.0,-13.1,21.0,51.9,2.3,1019.4,1033.0,1028.0,1030.5,9.9,9.3,1.76,9.79,,2.8,,2.1,1.6,-4.6,-13.1,-4.2,-2.8,-1.3,-0.3,0.9,4.3,6.3,13.4,16.6,,1.5,,-{연무}-{연무}{강도0}0300-0510.,
108,서울,2013-01-19,0.5,-2.5,4.6,,,,,6.9,290.0,4.4,230.0,2.0,1751.0,270.0,-6.6,41.0,59.9,3.8,1018.3,1032.2,1027.7,1029.2,10.0,6.5,1.41,7.74,,2.8,,4.3,4.3,-0.6,-4.7,-1.1,-1.2,-0.7,-0.3,0.9,4.2,6.2,13.3,16.5,,1.3,,{연무}1030--{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
