지점 번호,지점명,날짜,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmm),최고 기온(°C),최고 기온 시각(hhmm),10분 최다강수량(mm),10분 최다강수 시각(hhmm),1시간 최다강수(mm),1시간 최다강수 시각(hhmm),강수 계속시간(hr),일강수량(mm),최대 순간풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmm),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmm),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmm),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmm),최저 해면기압(hPa),최저 해면기압 시각(hhmm),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmm),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmm),일 최심적설(cm),일 최심적설 시각(hhmm),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
108,서울,2016-01-01,1.2,-3.3,0456,4.0,1442,N/A,N/A,N/A,N/A,N/A,N/A,5.6,290,1607,3.5,270,1517,1.6,1411,90,-3.3,56,1351,73.0,4.8,1019.9,1033.7,0916,1026.8,2343,1030.9,9.6,2.1,1000,0.9,4.61,N/A,N/A,N/A,N/A,N/A,7.0,7.0,0.2,-8.8,0.1,0.3,1.5,2.0,3.7,7.3,10.0,15.5,17.1,N/A,0.6,N/A,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1030. {연무}1020-{연무}{강도0}1200-1415.,N/A
108,서울,2016-01-02,5.7,1.0,0744,9.5,1514,N/A,N/A,N/A,N/A,N/A,N/A,6.9,320,1512,4.5,320,1550,2.0,1711,320,1.9,62,1307,76.9,7.1,1012.0,1027.0,0011,1020.0,2257,1022.6,9.6,3.6,1200,0.76,4.5,N/A,N/A,N/A,N/A,N/A,7.8,7.1,2.8,-3.5,2.8,2.1,2.3,2.4,3.7,7.2,9.9,15.5,17.1,N/A,0.3,N/A,{박무}0930-1055. {연무}1050-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-1830. {박무}1820-{박무}{강도0}2100-{박무}{강도0}2400-,N/A
108,서울,2016-01-03,6.5,5.1,2359,9.4,1506,N/A,N/A,N/A,N/A,N/A,N/A,5.7,340,2338,4.0,320,1258,1.8,1536,320,3.2,61,1451,80.6,7.7,1008.9,1020.5,1026,1017.9,1543,1019.4,9.7,2.2,1200,0.89,4.85,N/A,N/A,N/A,N/A,N/A,7.5,7.5,4.8,-0.6,4.9,4.2,4.0,3.7,4.2,7.1,9.7,15.4,17.0,N/A,0.3,N/A,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도1}1200-1250. {연무}1240-{연무}{강도0}1500-{연무}{강도0}1800-1955. {박무}1945-{박무}{강도1}2100-{박무}{강도1}2400-,N/A
108,서울,2016-01-04,2.0,-2.5,2350,5.3,1313,N/A,N/A,N/A,N/A,N/A,N/A,8.6,320,1252,5.1,50,1338,3.1,2706,320,-6.9,28,1518,54.4,3.9,1013.1,1026.8,2400,1019.7,0010,1023.9,9.7,8.6,1300,1.51,9.03,N/A,N/A,N/A,N/A,N/A,4.4,2.5,3.0,-3.5,3.3,3.7,4.4,4.3,4.9,7.1,9.6,15.3,17.0,N/A,1.7,N/A,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-0920. {연무}0915-1120.,N/A
108,서울,2016-01-05,-2.7,-4.8,0844,1.5,1512,N/A,N/A,N/A,N/A,N/A,N/A,7.3,360,1219,4.6,360,1221,2.3,2021,20,-15.2,22,1327,39.4,1.9,1016.9,1029.8,1046,1026.4,1510,1027.9,9.7,7.9,1300,1.56,8.22,N/A,N/A,N/A,N/A,N/A,3.4,0.1,0.1,-8.7,-0.1,1.4,3.0,3.6,4.8,7.2,9.5,15.2,17.0,N/A,1.8,N/A,N/A,N/A
108,서울,2016-01-06,-1.7,-4.9,0230,1.7,1229,N/A,N/A,N/A,N/A,N/A,N/A,6.9,360,2354,3.8,320,1557,1.8,1581,320,-9.7,42,1103,54.3,3.0,1014.7,1028.4,0001,1023.3,1643,1025.7,9.7,2.2,1000,0.98,4.69,N/A,N/A,N/A,N/A,N/A,6.0,5.3,-0.5,-9.0,-0.4,0.6,2.2,2.9,4.3,7.1,9.4,15.1,16.9,N/A,1.5,N/A,N/A,N/A
108,서울,2016-01-07,-3.4,-5.9,0732,1.4,1443,N/A,N/A,N/A,N/A,N/A,N/A,9.0,320,0009,5.2,340,1652,2.5,2132,20,-12.4,25,1446,51.8,2.4,1013.9,1026.7,1014,1023.3,1504,1024.9,9.7,9.1,1200,1.65,9.76,N/A,N/A,N/A,N/A,N/A,0.3,0.0,-1.0,-9.1,-1.0,0.2,1.7,2.4,3.9,7.0,9.4,15.0,16.9,N/A,1.5,N/A,N/A,N/A
108,서울,2016-01-08,-3.3,-6.9,0408,1.0,1515,N/A,N/A,N/A,N/A,N/A,N/A,9.4,50,1321,5.9,50,1445,2.0,1728,290,-13.0,24,1425,49.8,2.3,1012.6,1025.1,1016,1022.2,1501,1023.6,9.7,9.2,1200,1.66,9.83,N/A,N/A,N/A,N/A,N/A,0.5,0.4,-1.5,-11.4,-1.5,-0.3,1.3,2.1,3.6,6.9,9.3,15.0,16.8,N/A,0.8,N/A,N/A,N/A
108,서울,2016-01-09,-2.1,-6.2,0813,2.4,1344,N/A,N/A,N/A,N/A,N/A,N/A,9.0,20,1439,5.3,50,1439,2.1,1833,360,-9.6,32,1327,57.1,3.0,1014.3,1026.9,1006,1024.4,0001,1025.2,9.7,8.0,1200,1.64,9.28,N/A,N/A,N/A,N/A,N/A,4.1,4.1,-1.0,-10.4,-1.3,-0.5,1.1,1.8,3.5,6.7,9.2,14.9,16.8,N/A,1.6,N/A,N/A,N/A
108,서울,2016-01-10,0.3,-2.7,2342,3.8,1256,N/A,N/A,N/A,N/A,N/A,N/A,8.1,50,1403,5.1,70,1400,2.6,2205,50,-12.3,20,1519,42.3,2.6,1015.5,1028.6,1954,1024.0,0442,1026.4,9.8,7.9,1200,1.67,9.35,N/A,N/A,N/A,N/A,N/A,2.6,2.6,0.2,-5.0,0.1,-0.1,1.2,1.7,3.3,6.6,9.1,14.8,16.8,N/A,1.9,N/A,N/A,N/A
108,서울,2016-01-11,-3.8,-6.5,0802,0.9,1505,N/A,N/A,N/A,N/A,N/A,N/A,7.5,50,0135,5.0,20,1648,2.8,2397,50,-16.3,22,1346,38.3,1.7,1016.1,1029.0,1039,1025.2,1636,1027.1,9.8,9.1,1200,1.68,9.89,N/A,N/A,N/A,N/A,N/A,1.1,0.0,-1.6,-8.4,-1.4,-0.2,1.1,1.7,3.2,6.5,9.0,14.7,16.8,N/A,1.2,N/A,N/A,N/A
108,서울,2016-01-12,-5.2,-9.1,0637,0.7,1536,N/A,N/A,N/A,N/A,N/A,N/A,7.4,360,2125,5.1,360,2128,2.5,2198,50,-15.5,23,1332,46.0,1.9,1013.3,1026.7,0955,1022.1,1612,1024.4,9.8,9.1,1200,1.67,10.02,N/A,N/A,N/A,N/A,N/A,0.5,0.4,-2.5,-12.8,-2.3,-0.8,0.9,1.5,3.1,6.3,8.9,14.7,16.7,N/A,1.2,N/A,N/A,N/A
108,서울,2016-01-13,-4.5,-8.2,0321,0.1,1311,N/A,N/A,N/A,N/A,3.42,0.4,9.1,270,2206,4.9,320,2059,2.0,1764,50,-10.8,31,1044,63.0,2.8,1009.5,1023.1,0003,1017.3,1515,1020.5,9.8,5.8,1100,1.32,6.69,0.5,1625,0.5,1625,0.5,5.5,5.5,-1.8,-11.8,-2.0,-1.0,0.6,1.3,3.0,6.3,8.8,14.6,16.7,N/A,N/A,0.4,{소낙눈}1355-{소낙눈}{강도0}1500-1520. {소낙눈}1530-1730.,N/A
108,서울,2016-01-14,-3.4,-8.4,0658,1.3,1446,N/A,N/A,N/A,N/A,2.1,0.0,8.0,230,1640,4.7,230,1638,1.7,1450,230,-12.4,24,1053,52.1,2.5,1011.0,1024.1,0852,1020.5,1431,1022.0,9.8,7.7,1200,1.61,8.8,0.0,1930,0.4,0001,0.0,4.0,4.0,-1.1,-13.3,-1.7,-0.8,0.6,1.2,2.8,6.1,8.7,14.5,16.6,N/A,1.5,0.0,{눈}1630-1657. {눈}1715-1740. {눈}1925-1958. {눈}2135-2216.,N/A
108,서울,2016-01-15,-0.4,-4.3,0740,5.3,1511,N/A,N/A,N/A,N/A,N/A,N/A,5.4,140,2311,3.4,140,2320,1.8,1538,160,-9.5,28,1228,52.3,3.0,1010.9,1022.9,1021,1020.3,1441,1021.7,9.9,6.1,1200,1.61,7.85,N/A,N/A,0.0,0001,N/A,3.1,2.8,-0.2,-8.5,-0.4,-0.3,0.6,1.2,2.8,6.0,8.6,14.4,16.6,N/A,1.4,N/A,N/A,N/A
108,서울,2016-01-16,-0.2,-2.1,0043,2.8,1547,N/A,N/A,N/A,N/A,4.83,0.1,6.5,90,1348,4.2,90,1145,2.9,2492,90,-5.5,53,0327,68.0,4.2,1012.1,1024.6,1057,1022.0,1441,1023.0,9.9,1.0,1400,1.02,4.86,N/A,N/A,N/A,N/A,N/A,7.1,6.4,0.1,-6.0,-0.3,-0.3,0.7,1.2,2.8,5.9,8.5,14.3,16.6,N/A,0.8,0.1,{연무}0830-{연무}{강도0}0900-1143. {박무}1135-{박무}{강도1}1200-1405. {눈}0930-{눈}{강도0}1200-1420. {연무}1402-{연무}{강도0}1500-{연무}{강도0}1800-2040. {박무}2025-{박무}{강도0}2100-{박무}{강도0}2400-,N/A
108,서울,2016-01-17,1.7,-0.7,0514,5.4,1513,N/A,N/A,N/A,N/A,N/A,N/A,5.7,90,0921,4.0,90,0925,2.4,2103,90,-4.6,47,1424,64.0,4.3,1006.4,1022.3,0249,1012.4,2357,1017.2,9.9,0.0,1100,0.76,4.23,N/A,N/A,N/A,N/A,N/A,6.6,1.8,0.4,-6.0,0.2,-0.2,0.7,1.3,2.8,5.8,8.3,14.3,16.5,N/A,0.6,0.2,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0930. {연무}0925-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-2050. {연무}2130-{연무}{강도0}2400-,N/A
108,서울,2016-01-18,-6.3,-12.3,2340,0.4,0209,N/A,N/A,N/A,N/A,4.9,0.2,15.1,340,1436,8.5,340,1534,4.8,4117,340,-13.2,31,1602,59.8,2.5,1003.9,1019.1,2324,1011.0,0421,1014.9,9.9,7.8,1100,1.61,8.31,0.4,0415,0.4,0415,0.4,6.0,5.3,-1.3,-12.5,-1.2,-0.2,0.9,1.3,2.7,5.8,8.3,14.2,16.5,N/A,1.5,0.0,-{연무}-0258. {박무}0250-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0920. {연무}0915-1045. {눈}0214-{눈}{강도0}0300-0548. {눈}2035-{눈}{강도0}2100-2115. {눈}2140-2220.,N/A
108,서울,2016-01-19,-12.8,-15.1,0805,-8.9,1411,N/A,N/A,N/A,N/A,N/A,N/A,14.5,340,1143,9.0,340,1455,5.4,4674,340,-22.2,29,1251,45.9,1.0,1011.7,1028.6,2354,1019.1,0001,1023.1,9.9,9.3,1200,1.83,10.82,N/A,N/A,N/A,N/A,N/A,0.5,0.5,-5.8,-15.2,-5.5,-2.3,0.4,1.2,2.5,5.7,8.2,14.2,16.5,N/A,1.5,N/A,N/A,N/A
108,서울,2016-01-20,-10.5,-14.5,0704,-5.2,1604,N/A,N/A,N/A,N/A,N/A,N/A,5.9,340,1026,3.7,320,1027,1.8,1521,50,-20.6,30,1515,43.6,1.2,1019.7,1033.5,1023,1028.6,0001,1031.2,10.0,9.0,1100,1.63,9.08,N/A,N/A,N/A,N/A,N/A,1.9,0.0,-5.1,-16.5,-5.3,-3.0,-0.2,0.7,2.3,5.6,8.1,14.1,16.4,N/A,0.9,N/A,{햇무리}1240-1530.,N/A
108,서울,2016-01-21,-7.1,-10.2,0003,-2.3,1442,N/A,N/A,N/A,N/A,N/A,N/A,6.9,320,1407,4.0,290,1330,1.8,1598,320,-17.6,28,1300,44.3,1.6,1017.9,1031.4,0226,1027.1,1442,1029.1,10.0,6.5,1200,1.68,8.41,N/A,N/A,N/A,N/A,N/A,3.9,0.0,-3.4,-13.3,-3.5,-2.2,-0.3,0.4,2.2,5.5,8.0,14.0,16.4,N/A,1.6,N/A,{달무리}0015-0110.,N/A
108,서울,2016-01-22,-7.6,-11.1,0551,-3.8,1516,N/A,N/A,N/A,N/A,N/A,N/A,9.0,340,2316,5.3,340,2226,2.6,2285,320,-19.2,25,1518,40.5,1.4,1021.1,1034.1,2346,1030.3,0001,1032.4,10.0,6.2,1100,1.19,7.62,N/A,N/A,N/A,N/A,N/A,5.4,0.0,-4.1,-13.9,-4.0,-2.5,-0.4,0.3,2.1,5.4,7.9,13.9,16.3,N/A,1.7,N/A,{햇무리}1050-1410. {햇무리}1540-1640.,N/A
108,서울,2016-01-23,-11.5,-16.0,2356,-8.3,0001,N/A,N/A,N/A,N/A,0.58,0.0,12.7,340,1747,7.5,340,1747,4.0,3421,340,-21.9,27,1007,42.0,1.1,1019.1,1034.2,0028,1027.7,2352,1030.6,10.0,8.3,1100,1.66,9.18,N/A,N/A,N/A,N/A,N/A,3.5,1.6,-5.3,-17.2,-5.0,-2.9,-0.6,0.2,1.9,5.3,7.9,13.9,16.3,N/A,1.5,0.0,{눈}1440-{눈}{강도0}1500-1515.,N/A
108,서울,2016-01-24,-14.4,-18.0,0730,-10.5,1620,N/A,N/A,N/A,N/A,N/A,N/A,8.6,360,1548,5.4,340,1550,3.2,2738,340,-23.1,31,1345,48.5,1.0,1014.9,1029.3,2215,1024.6,0545,1026.4,10.1,9.3,1200,1.76,10.54,N/A,N/A,N/A,N/A,N/A,0.0,0.0,-7.9,-18.7,-7.4,-4.7,-1.4,-0.1,1.6,5.2,7.8,13.8,16.2,N/A,1.3,N/A,N/A,N/A
108,서울,2016-01-25,-9.4,-14.3,0535,-3.4,1525,N/A,N/A,N/A,N/A,N/A,N/A,6.8,360,1141,4.1,360,1148,1.9,1635,320,-19.0,26,1451,47.1,1.4,1018.0,1030.7,1034,1027.9,1532,1029.3,10.1,9.5,1200,1.84,11.22,N/A,N/A,N/A,N/A,N/A,0.9,0.9,-5.9,-18.3,-5.7,-4.0,-1.5,-0.3,1.4,5.0,7.7,13.7,16.2,N/A,1.4,0.1,N/A,N/A
108,서울,2016-01-26,-3.3,-8.5,0230,1.7,1540,N/A,N/A,N/A,N/A,8.33,0.3,8.3,320,1604,5.4,290,1611,2.3,1948,90,-9.1,45,1605,64.5,3.1,1016.3,1029.6,0002,1025.3,1658,1027.3,10.1,4.5,1300,1.08,6.5,0.5,0940,0.5,0940,0.5,6.1,6.1,-2.2,-11.5,-2.6,-2.0,-0.8,-0.3,1.3,4.9,7.5,13.6,16.2,N/A,1.1,0.2,{눈}0445-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-1215. {눈}1240-1255. {눈}1310-1345. {박무}1110-{박무}{강도0}1200-1440. {연무}1435-{연무}{강도0}1500-1540.,N/A
108,서울,2016-01-27,-1.1,-4.7,0734,4.3,1535,N/A,N/A,N/A,N/A,N/A,N/A,7.7,290,1407,4.5,320,1429,2.0,1771,340,-9.0,34,1536,56.3,3.1,1019.0,1031.5,2258,1027.3,0059,1030.0,10.2,9.4,1300,1.48,9.55,N/A,N/A,N/A,N/A,N/A,2.4,0.6,-1.5,-11.7,-1.4,-1.3,-0.5,-0.2,1.4,4.8,7.4,13.5,16.1,N/A,1.0,N/A,{햇무리}1140-1335.,N/A
